Time,Porosity,Inst_Amp,Inst_Phase,Inst_Freq,Hilbert,Amp_2nd_Der,Cosine_Phase,Env_w_Phase,Env_w_Freq,Energy,Sqrt_Energy,Relief,F3_Velocity_Data,F3_Seismic_Data
4.266,0.3575,2.4944565,1.3336258,1.00E+30,-1.7315613,1.00E+30,0.0153857,1.00E+30,1.00E+30,1.00E+30,1.00E+30,-62574.6875,1796.040527,0
4.6215,0.3575,3.7743318,1.0693861,62.5,-4.5874448,1.00E+30,0.0268845,-1.5760058,1.00E+30,1.00E+30,1.00E+30,-63101.86328,1796.099609,0
4.977,0.3575,5.1847954,0.78904,62.5,-7.121981,1.00E+30,0.0343913,-1.5963262,1.00E+30,1.00E+30,1.00E+30,-63480.74609,1796.164185,0
5.3325,0.3575,6.7151852,0.4969723,62.5,-9.3715382,1.00E+30,0.0383435,-1.6129212,1.00E+30,1.00E+30,1.00E+30,-63664.91406,1796.233643,0
5.688001,0.3574,8.35494,0.1976166,62.5,-11.3717346,1.00E+30,0.03917,-1.6253248,1.00E+30,1.00E+30,1.00E+30,-63607.83594,1796.307495,0
6.0435,0.3574,10.093591,-0.104616,62.5,-13.1583948,1.00E+30,0.0373,-1.6330733,1.00E+30,1.00E+30,1.00E+30,-63263.03516,1796.385132,0
6.399001,0.3574,11.9208164,-0.4053382,62.5,-14.7674675,1.00E+30,0.0331632,-1.6357033,1.00E+30,1.00E+30,1.00E+30,-62584,1796.465942,0
6.7545,0.3574,13.8259735,-0.7001079,62.5,-16.2345943,1.00E+30,0.027189,-1.63275,1.00E+30,1.00E+30,1.00E+30,-61524.28125,1796.549316,0
7.11,0.3574,15.7987986,-0.9845449,62.5,-17.59573,1.00E+30,0.0198063,-1.62375,1.00E+30,1.00E+30,1.00E+30,-60037.32031,1796.634888,0
7.4655,0.3574,17.8286877,-1.2542161,62.5,-18.8865833,1.00E+30,0.0114449,-1.6082383,1.00E+30,1.00E+30,1.00E+30,-58076.67969,1796.721802,0
7.821,0.3574,19.9051781,-1.5047116,62.5,-20.142969,1.00E+30,0.0025342,-1.5857521,1.00E+30,1.00E+30,1.00E+30,-55595.91797,1796.809692,0
8.1765,0.3574,21.3361053,-1.6498663,0,-21.4402733,77041.39844,-4.37E-08,-1.5707965,0,1.00E+30,1.00E+30,-72482.78125,1796.885864,0
8.532,0.3573,23.256371,-1.7088913,0,-23.438299,82516.82031,-4.37E-08,-1.5707965,0,1.00E+30,1.00E+30,-65058.20703,1796.96228,0
8.887501,0.3573,25.2255688,-1.7474533,0,-25.4583,87162.36719,-4.37E-08,-1.5707965,0,1.00E+30,1.00E+30,-57211.1875,1797.038818,0
9.243,0.3573,27.2428722,-1.7677532,0,-27.502346,90860.60156,-4.37E-08,-1.5707965,0,1.00E+30,1.00E+30,-49054.51563,1797.115601,0
9.5985,0.3573,29.3076038,-1.771998,0,-29.5726662,93494.58594,-4.37E-08,-1.5707965,0,1.00E+30,1.00E+30,-40700.44922,1797.192627,0
9.954,0.3573,31.4192352,-1.7623932,0,-31.6716461,94947.50781,-4.37E-08,-1.5707965,0,1.00E+30,1.00E+30,-32260.57422,1797.269775,0
10.309501,0.3573,33.5768776,-1.7411448,0,-33.8012962,95102.10938,-4.37E-08,-1.5707965,0,1.00E+30,1.00E+30,-23847.96094,1797.347046,0
10.665,0.3573,35.7800827,-1.7104561,0,-35.9640732,93841.50781,-4.37E-08,-1.5707966,0,1.00E+30,1.00E+30,-15573.98438,1797.424316,0
11.0205,0.3573,38.0279922,-1.6725347,0,-38.1620255,91048.60156,-4.37E-08,-1.5707966,0,1.00E+30,1.00E+30,-7551.53125,1797.501709,0
11.376,0.3572,40.319931,-1.6295861,0,-40.397381,86606.57031,-4.37E-08,-1.5707966,0,1.00E+30,1.00E+30,107.2192917,1797.579346,0
11.731501,0.3572,42.6553955,-1.5838128,0,-42.6725464,80398.00781,-4.37E-08,-1.5707966,0,1.00E+30,1.00E+30,7290.601563,1797.656616,0
12.087001,0.3572,44.5325661,-1.5721188,0,-44.533226,124707.7422,-4.37E-08,-1.5707964,0,1.00E+30,1.00E+30,5313.474121,1797.733398,0
12.4425,0.3572,45.4056587,-1.525921,0,-45.3831482,127177.6641,-4.37E-08,-1.5707964,0,1.00E+30,1.00E+30,7321.832031,1797.80957,0
12.798,0.3572,46.6629181,-1.4818658,0,-46.6183167,129784.6797,-4.37E-08,-1.5707964,0,1.00E+30,1.00E+30,9986.050781,1797.885986,0
13.1535,0.3572,48.362671,-1.44216,0,-48.2981529,132478.4063,-4.37E-08,-1.5707964,0,1.00E+30,1.00E+30,13415.74512,1797.962524,0
13.509001,0.3572,50.563339,-1.4090058,0,-50.4821854,135207.625,-4.37E-08,-1.5707964,0,1.00E+30,1.00E+30,17720.89844,1798.038818,0
13.8645,0.3571,53.323021,-1.3846122,0,-53.2296333,137920.6094,-4.37E-08,-1.5707964,0,1.00E+30,1.00E+30,23010.87695,1798.115234,0
14.22,0.3571,56.7002831,-1.3711816,0,-56.6001587,140566.1719,-4.37E-08,-1.5707964,0,1.00E+30,1.00E+30,29395.91016,1798.19165,0
14.5755,0.3571,60.753212,-1.3709217,0,-60.6529541,143092.6875,-4.37E-08,-1.5707964,0,1.00E+30,1.00E+30,36985.32813,1798.268066,0
14.931001,0.3571,65.540062,-1.386036,0,-65.44738,145448.7031,-4.37E-08,-1.5707964,0,1.00E+30,1.00E+30,45888.79297,1798.344727,0
15.2865,0.3571,71.1195068,-1.4187318,0,-71.0432281,147582.9688,-4.37E-08,-1.5707964,0,1.00E+30,1.00E+30,56216.74609,1798.421143,0
15.642,0.3571,77.5493317,-1.4712129,0,-77.4993744,149443.8125,-4.37E-08,-1.5707964,0,1.00E+30,1.00E+30,68077.9375,1798.497681,0
15.997499,0.3571,84.8884277,-1.5456866,0,-84.8758163,150979.9844,-4.37E-08,-1.5707963,0,1.00E+30,1.00E+30,81583.21094,1798.574341,0
16.353001,0.357,100.4001465,-1.5707964,0,-100.4001465,137379.9219,-4.37E-08,-1.5707964,0,1.00E+30,1.00E+30,106109.7109,1798.651367,0
16.7085,0.357,102.87468,-1.5707964,0,-102.87468,132284.375,-4.37E-08,-1.5707964,0,1.00E+30,1.00E+30,110867.8984,1798.727783,0
17.064,0.357,104.9706039,-1.5707964,0,-104.9706039,127459.4688,-4.37E-08,-1.5707963,0,1.00E+30,1.00E+30,115064.1797,1798.804443,0
17.4195,0.357,106.6364365,-1.5707964,0,-106.6364365,123161.4063,-4.37E-08,-1.5707963,0,1.00E+30,1.00E+30,118620.7344,1798.880981,0
17.775,0.357,107.8208313,-1.5707964,0,-107.8208313,119646.3125,-4.37E-08,-1.5707963,0,1.00E+30,1.00E+30,121459.9141,1798.95752,0
18.130501,0.357,108.4731445,-1.5707964,0,-108.4731445,117167.6719,-4.37E-08,-1.5707963,0,1.00E+30,1.00E+30,123506.2266,1799.034058,0
18.486,0.357,108.5413666,-1.5707964,0,-108.5413666,115983.7031,-4.37E-08,-1.5707961,0,1.00E+30,1.00E+30,124680.3047,1799.110718,0
18.841499,0.3569,107.974472,-1.5707964,0,-107.974472,116349.1563,-4.37E-08,-1.5707961,0,1.00E+30,1.00E+30,124905.6406,1799.187256,0
19.197001,0.3569,106.7212372,-1.5707964,0,-106.7212372,118519.8125,-4.37E-08,-1.5707961,0,1.00E+30,1.00E+30,124104.7813,1799.263672,0
19.5525,0.3569,104.7309341,-1.5707964,0,-104.7309341,122750.0234,-4.37E-08,-1.5707961,0,1.00E+30,1.00E+30,122201.0859,1799.340332,0
19.908,0.3569,101.9503937,-1.5707964,0,-101.9503937,129299.8438,-4.37E-08,-1.570796,0,1.00E+30,1.00E+30,119115.2109,1799.41687,0
20.2635,0.3569,115.2530518,-1.5707964,0,-115.2530518,139108.2813,-4.37E-08,-1.5707965,0,1.00E+30,1.00E+30,31396.04102,1799.493652,0
20.619,0.3569,118.5959549,-1.5707964,0,-118.5959549,148040.8594,-4.37E-08,-1.5707965,0,1.00E+30,1.00E+30,34225.35156,1799.570068,0
20.974501,0.3569,122.1004944,-1.5707964,0,-122.1004944,160161.25,-4.37E-08,-1.5707965,0,1.00E+30,1.00E+30,36678.39453,1799.646851,0
21.33,0.3569,125.7207184,-1.5707964,0,-125.7207184,175767.625,-4.37E-08,-1.5707965,0,1.00E+30,1.00E+30,38848.42578,1799.723267,0
21.685499,0.3568,129.4139252,-1.5707964,0,-129.4139252,195175.7813,-4.37E-08,-1.5707965,0,1.00E+30,1.00E+30,40832.875,1799.8,0
22.041,0.3568,133.13147,-1.5707964,0,-133.13147,218672.5469,-4.37E-08,-1.5707965,0,1.00E+30,1.00E+30,42725.89453,1799.876465,0
22.3965,0.3568,136.8291473,-1.5707964,0,-136.8291473,246566.4844,-4.37E-08,-1.5707965,0,1.00E+30,1.00E+30,44624.08203,1799.953125,0
22.752001,0.3568,140.46106,-1.5707964,0,-140.46106,279157.0625,-4.37E-08,-1.5707966,0,1.00E+30,1.00E+30,46623.12109,1800.029663,0
23.1074982,0.3568,143.9810181,-1.5707964,0,-143.9810181,316737.7813,-4.37E-08,-1.5707966,0,1.00E+30,1.00E+30,48818.42578,1800.106323,0
23.463,0.3568,147.3461914,-1.5707964,0,-147.3461914,359642.2188,-4.37E-08,-1.5707966,0,1.00E+30,1.00E+30,51307.69531,1800.182983,0
23.818501,0.3568,150.5081329,-1.5707964,0,-150.5081329,408137.7188,-4.37E-08,-1.5707967,0,1.00E+30,1.00E+30,54184.8125,1800.259644,0
24.174,0.3567,149.8866425,-1.5707964,0,-149.8866425,462244,-4.37E-08,-1.5707964,0,1.00E+30,1.00E+30,83463.94531,1800.336304,0
24.529499,0.3567,150.249054,-1.5707964,0,-150.249054,484641.75,-4.37E-08,-1.5707964,0,1.00E+30,1.00E+30,90548.23438,1800.412964,0
24.8849983,0.3567,150.48851,-1.5707964,0,-150.48851,504018.5,-4.37E-08,-1.5707964,0,1.00E+30,1.00E+30,97947.85938,1800.489502,0
25.240499,0.3567,150.6698914,-1.5707964,0,-150.6698914,519934.3125,-4.37E-08,-1.5707964,0,1.00E+30,1.00E+30,105596.6406,1800.566162,0
25.596001,0.3567,150.857666,-1.5707964,0,-150.857666,531914.9375,-4.37E-08,-1.5707964,0,1.00E+30,1.00E+30,113414.2656,1800.642944,0
25.9515,0.3567,151.11647,-1.5707964,0,-151.11647,539505,-4.37E-08,-1.5707963,0,1.00E+30,1.00E+30,121327.3047,1800.71936,0
26.307,0.3567,151.5111542,-1.5707964,0,-151.5111542,542248.0625,-4.37E-08,-1.5707963,0,1.00E+30,1.00E+30,129267.7344,1800.796143,0
26.6624985,0.3566,152.1061554,-1.5707964,0,-152.1061554,539680.8125,-4.37E-08,-1.5707963,0,1.00E+30,1.00E+30,137155.7031,1800.872681,0
27.018,0.3566,152.966141,-1.5707964,0,-152.966141,531344.5,-4.37E-08,-1.5707963,0,1.00E+30,1.00E+30,144918.9219,1800.949341,0
27.373501,0.3566,154.1557465,-1.5707964,0,-154.1557465,516779.9375,-4.37E-08,-1.5707963,0,1.00E+30,1.00E+30,152483.4688,1801.026001,0
27.729,0.3566,155.73967,-1.5707964,0,-155.73967,495526.5,-4.37E-08,-1.5707963,0,1.00E+30,1.00E+30,159776.0156,1801.102661,0
28.0845013,0.3566,158.3174744,-1.5707964,0,-158.3174744,509421.9688,-4.37E-08,-1.5707965,0,1.00E+30,1.00E+30,204902.0156,1801.179443,0
28.44,0.3566,160.368927,-1.5707964,0,-160.368927,558582.5625,-4.37E-08,-1.5707965,0,236827.7031,486.676239,209707.1875,1801.255981,0
28.7955,0.3566,163.0043335,-1.5707964,0,-163.0043335,611062.5625,-4.37E-08,-1.5707965,0,237774.3906,487.6690674,215007.0469,1801.332764,0
29.151001,0.3566,166.295349,-1.5707964,0,-166.295349,666018.0625,-4.37E-08,-1.5707964,0,238542.8906,488.4750061,220872.0781,1801.409302,0
29.5065,0.3565,170.31398,-1.5707964,0,-170.31398,722610.375,-4.37E-08,-1.5707964,0,239110.5,489.070282,227372.25,1801.486084,0
29.8620014,0.3565,175.1315155,-1.5707964,0,-175.1315155,779990.9375,-4.37E-08,-1.5707964,0,239454.4063,489.431,234576.3438,1801.562866,0
30.2174988,0.3565,180.8201447,-1.5707964,0,-180.8201447,837322.625,-4.37E-08,-1.5707964,0,239551.9375,489.5332642,242554.6094,1801.639526,0
30.573,0.3565,187.4512024,-1.5707964,0,-187.4512024,893758.375,-4.37E-08,-1.5707964,0,239380.3125,489.3532715,251375.9688,1801.716309,0
30.928499,0.3565,195.0963287,-1.5707964,0,-195.0963287,948455.125,-4.37E-08,-1.5707963,0,238916.8125,488.8671875,261109.8438,1801.792969,0
31.284,0.3565,203.827789,-1.5707964,0,-203.827789,1000574.375,-4.37E-08,-1.5707963,0,238138.6719,488.0511475,271826.4375,1801.869751,0
31.6395016,0.3565,213.7164917,-1.5707964,0,-213.7164917,1049267.75,-4.37E-08,-1.5707963,0,237023.1875,486.8813477,283594.1875,1801.946411,0
31.9949989,0.3565,224.8350677,-1.5707964,0,-224.8350677,1093697.5,-4.37E-08,-1.5707963,0,235547.5625,485.3338013,296483.75,1802.023315,0
32.3504982,0.3564,233.44249,-1.5707964,0,-233.44249,971640.625,-4.37E-08,-1.5707963,-1.01453,236260.8281,486.0776062,309573.5938,1802.099854,0
32.7060013,0.3564,237.9210052,-1.5707964,0,-237.9210052,901733.25,-4.37E-08,-1.5707963,-1.6514928,236422.875,486.2509155,319531.5,1802.176514,0
33.061501,0.3564,241.6955872,-1.5707964,0,-241.6955872,837571.625,-4.37E-08,-1.5707963,-2.2062621,236495.5156,486.3300476,329567.1875,1802.253296,0
33.417,0.3564,244.6722412,-1.5707964,0,-244.6722412,783542.75,-4.37E-08,-1.5707963,-2.6454649,236496.5313,486.3334961,339652.75,1802.330078,0
33.772499,0.3564,246.7573547,-1.5707964,0,-246.7573547,744029.9375,-4.37E-08,-1.5707963,-2.9357815,236443.6719,486.2798462,349759.5,1802.40686,0
34.1279984,0.3564,247.858521,-1.5707964,0,-247.858521,723391.5,-4.37E-08,-1.5707963,-3.0440388,236354.75,486.1873779,359868.5,1802.483643,0
34.4835014,0.3564,247.8809814,-1.5707964,0,-247.8809814,726032.375,-4.37E-08,-1.5707963,-2.9367664,236247.5938,486.074707,369944.2188,1802.560425,0
34.839001,0.3563,246.7316589,-1.5707964,0,-246.7316589,756324.625,-4.37E-08,-1.5707964,-2.5807,236139.9531,485.9602051,379963.625,1802.637207,0
35.1945,0.3563,244.3170471,-1.5707964,0,-244.3170471,818646.6875,-4.37E-08,-1.5707964,-1.942553,236049.6875,485.8624268,389898.6875,1802.713989,0
35.55,0.3563,240.5447845,-1.5707964,0,-240.5447845,917350.375,-4.37E-08,-1.5707964,-0.9892774,235994.5156,485.7997437,399720.875,1802.790772,0
35.9054985,0.3563,235.317688,-1.5707964,0,-235.317688,1056911.5,-4.37E-08,-1.5707965,0.3133383,235992.2813,485.79068,409410.9375,1802.867554,0
36.2610016,0.3563,250.350235,-1.5707964,2.9277458,-250.350235,1291701.5,-4.37E-08,-1.5708022,56.4963,235653,485.4379883,289136.5313,1802.944092,0
36.616501,0.3563,261.7655029,-1.5707964,7.9040813,-261.7655029,1509614.125,-4.37E-08,-1.570812,59.781441,236280.6563,486.081665,298397.5313,1803.020996,0
36.972,0.3563,273.8535156,-1.5707964,14.0183439,-273.8535156,1778461.25,-4.37E-08,-1.5708241,62.4449272,236963.0625,486.7810364,307743.3125,1803.097656,0
37.327499,0.3562,286.4279785,-1.5707964,21.3565979,-286.4279785,2102448.5,-4.37E-08,-1.5708386,64.4051819,237693.9375,487.5296326,317180.8438,1803.174561,0
37.6829987,0.3562,299.31488,-1.5707964,30.0128231,-299.31488,2486132.5,-4.37E-08,-1.5708557,65.5805817,238467.8125,488.3216858,326729.25,1803.251343,0
38.0385056,0.3562,312.3197632,-1.5707964,40.068199,-312.3197632,2933503,-4.37E-08,-1.5708756,65.8870773,239277.9531,489.150238,336392.5938,1803.328125,0
38.3939972,0.3562,325.2586975,-1.5707964,51.609261,-325.2586975,3448781,-4.37E-08,-1.5708984,65.2426987,240118.25,490.0089111,346182.75,1803.404907,0
38.7495,0.3562,337.9582825,-1.5707964,64.7337952,-337.9582825,4036697.75,-4.37E-08,-1.5709244,63.5637245,240983.2813,490.892059,356119.625,1803.481567,0
39.105,0.3562,350.2212524,-1.5707964,79.5157318,-350.2212524,4700914.5,-4.37E-08,-1.5709536,60.769211,241866.0938,491.79248,366204.625,1803.558472,0
39.4604988,0.3562,361.8765259,-1.5707964,96.0584869,-361.8765259,5446413,-4.37E-08,-1.5709864,56.7733154,242761.4688,492.7047424,376460.3125,1803.635376,0
39.8160057,0.3562,372.7303772,-1.5707964,114.4369354,-372.7303772,6276895,-4.37E-08,-1.5710227,51.4961243,243662.6094,493.6217651,386890.2188,1803.712158,0
40.1714973,0.3561,369.716095,-1.5705485,8.0445862,-369.7180786,7124768.5,0.00024773,-1.5759761,46.2183838,245669.3438,495.6516418,391347.5938,1803.78894,0.23102
40.527,0.3561,364.7477722,-1.5703052,19.8957329,-364.75174,7851768.5,0.000491106,-1.5829741,44.5140419,246591.2656,496.586853,396143.4063,1803.865723,0.45794
40.8825,0.3561,359.6977539,-1.5700859,32.2950172,-359.7034912,8605400,0.000710353,-1.5894361,42.8601074,247483.875,497.4909668,401771.8438,1803.942627,0.662361
41.238,0.3561,355.0391541,-1.5699028,45.004425,-355.0463867,9385046,0.000893513,-1.595037,41.2980652,248339.6563,498.3563538,408552.125,1804.019531,0.833136
41.5935059,0.3561,351.254181,-1.569768,57.7626724,-351.2625122,10188668,0.0010282,-1.59944,39.8724365,249149.4531,499.1735535,416792.3438,1804.096314,0.9587535
41.9489975,0.3561,348.820129,-1.5696938,70.3188629,-348.829041,11014842,0.0011024,-1.6023149,38.6262741,249904.9063,499.933929,426804.25,1804.173218,1.0279
42.304501,0.3561,348.2138672,-1.5696924,82.432159,-348.222839,11862841,0.0011038,-1.6033317,37.6018486,250598.125,500.629425,438909.9688,1804.250244,1.02925
42.66,0.356,349.914093,-1.5697758,93.8390045,-349.9223633,12730372,0.00102,-1.6021575,36.8434143,251220.0313,501.250549,453409.9375,1804.326904,0.951449
43.015499,0.356,354.401123,-1.5699564,104.3002472,-354.4078979,13616936,0.000839794,-1.598459,36.3933983,251762.7813,501.7893677,470632.6875,1804.403809,0.78305
43.371006,0.356,362.1506042,-1.5702463,113.5559616,-362.15506,14520404,0.000549942,-1.5919076,36.2955132,252217.4844,502.2366333,490878.375,1804.480713,0.512797
43.7264977,0.356,373.6377869,-1.5706575,121.3563156,-373.638916,15439358,0.000138768,-1.5821731,36.5926132,252575.7969,502.5838013,514457.4375,1804.557495,0.1294253
44.082001,0.356,395.0513611,-1.58237,120.8986588,-395.0251465,15812437,-0.0115734,-1.560829,37.45985,254466.625,504.4466248,1156031.625,1804.634522,-4.5885534
44.4374962,0.356,413.4195862,-1.5820138,114.2772751,-413.383606,15002966,-0.0112174,-1.5306468,37.7057762,255186.9688,505.158905,1205355.875,1804.711426,-4.0040612
44.7929955,0.356,436.5780334,-1.5812511,106.2541962,-436.5305176,13997218,-0.0104547,-1.4972728,38.0330429,255915.5313,505.8783264,1250737,1804.788086,-3.1450872
45.1485062,0.3559,465.013611,-1.58004,97.0747452,-464.9526672,12805986,-0.0092441,-1.4609641,38.4214821,256654.6094,506.6071167,1291582.5,1804.86499,-1.985527
45.5039978,0.3559,499.1607056,-1.5783424,87.0011063,-499.08429,11442232,-0.0075463,-1.4220449,38.8501854,257404.9688,507.3461,1327206.75,1804.941895,-0.501255
45.859501,0.3559,539.5228882,-1.5761145,76.274429,-539.428894,9916112,-0.0053186,-1.3807571,39.2991333,258169.0469,508.0977478,1357007.75,1805.018677,1.3347837
46.2149963,0.3559,586.5369263,-1.5733175,65.155121,-586.4230347,8240423.5,-0.0025218,-1.3374169,39.74749,258947.8906,508.8630676,1380318.125,1805.095581,3.5467021
46.5704956,0.3559,640.66333,-1.5699112,53.8955,-640.5269775,6426924,0.000884288,-1.29231,40.1747818,259743.0781,509.6437073,1396502,1805.172363,6.1596136
46.9260063,0.3559,702.414551,-1.5658517,42.7387619,-702.2532959,4485762,0.0049435,-1.2456855,40.5608521,260556.8594,510.441925,1404927.375,1805.249268,9.2012186
47.281498,0.3559,772.1882324,-1.5611029,31.9492264,-772,2430726,0.009692,-1.1978778,40.8847961,261389.9688,511.2584534,1404944.5,1805.326172,12.693553
47.637001,0.3558,850.527161,-1.5556188,21.7672043,-850.3079834,271209.9375,0.0151757,-1.149119,41.12648,262244.9375,512.0958862,1395912.125,1805.402954,16.66588
47.9924965,0.3558,937.8388672,-1.5493625,12.4531717,-937.5863037,-1979460.75,0.0214315,-1.099733,41.2652016,263122.7188,512.9550171,1377192.375,1805.479858,21.1406746
48.3479958,0.3558,1011.845581,-1.5417763,20.4944267,-993.7837524,-5081440.5,0.0255868,-1.05456,39.807301,262188.2813,512.045105,1308973.5,1805.557129,39.561924
48.7035065,0.3558,1072.012695,-1.5052054,24.073658,-1030.66626,-7814987.5,0.0577318,-1.0041188,38.8711014,262489.75,512.3405762,1227885.25,1805.634155,89.768089
49.0589943,0.3558,1131.746826,-1.4606086,27.482189,-1061.990234,-10558538,0.0969283,-0.9537539,37.8661613,262748.7813,512.5941772,1126737,1805.71106,151.0079956
49.4145012,0.3558,1190.747559,-1.407329,30.6244373,-1087.035278,-13285582,0.1437536,-0.9036911,36.8111954,262969.25,512.8096313,1004148.313,1805.788086,224.1853485
49.77,0.3558,1248.601807,-1.3447974,33.3985062,-1105.024414,-15964434,0.1987075,-0.854251,35.7268219,263154.5,512.9903564,858938.25,1805.865234,310.0829468
50.1254959,0.3558,1304.944824,-1.2724134,35.7053947,-1115.208618,-18565626,0.2623177,-0.8057133,34.6328621,263308.0938,513.1398926,689855.25,1805.942017,409.5272827
50.4810066,0.3557,1359.454468,-1.189507,37.4474182,-1116.837647,-21061666,0.3351724,-0.7583211,33.5482559,263433.75,513.261841,495484.875,1806.019165,523.4394531
50.8364944,0.3557,1411.7052,-1.0955622,38.5234146,-1109.156006,-23420310,0.4177252,-0.7124072,32.493988,263534.875,513.359619,274773.25,1806.096069,652.5296631
51.1920013,0.3557,1461.388794,-0.9898676,38.8352356,-1091.400391,-25614628,0.510601,-0.6682016,31.4887123,263615.0938,513.43689,26207.44727,1806.173218,797.7762451
51.5474968,0.3557,1508.098389,-0.8718947,38.2830238,-1062.826172,-27613300,0.6142635,-0.626021,30.5530548,263678,513.49707,-251294.8125,1806.250366,959.9064331
51.9029961,0.3557,1551.470703,-0.7410451,36.7681961,-1022.687317,-29386972,0.729239,-0.5861444,29.7067566,263727.0313,513.54364,-558981.625,1806.327271,1139.743774
52.2585068,0.3557,1565.533936,-0.6364166,36.3871689,-929.0681152,-30695750,0.7953336,-0.5440847,30.5081367,258731.4063,509.1809082,1210037.375,1806.403687,1228.496094
52.6139946,0.3557,1573.632202,-0.5530018,37.1940918,-826.0443115,-32071522,0.8340041,-0.494582,31.0946655,255983.4219,506.8961487,1047028.625,1806.480591,1281.287598
52.9695015,0.3556,1576.258057,-0.4694289,37.806881,-715.227478,-33148422,0.868355,-0.4446065,31.631937,253541.4375,504.8653564,872246.4375,1806.557739,1326.309937
53.3249969,0.3556,1573.618897,-0.38594,38.2092628,-598.3220215,-33896000,0.8983068,-0.3941967,32.1047821,251552.625,503.211731,688728.625,1806.634644,1363.423706
53.6804962,0.3556,1565.929932,-0.3027124,38.385746,-476.9512329,-34285052,0.9238127,-0.3433524,32.49855,250161.7031,502.0563049,499384,1806.71167,1392.534302
54.0360069,0.3556,1553.394043,-0.219855,38.3206749,-352.6369629,-34286240,0.94484,-0.2920321,32.79879,249513,501.5196838,306964.5,1806.788696,1413.560181
54.3914948,0.3556,1536.236328,-0.1376355,37.9984589,-227.1347046,-33870120,0.9613167,-0.2402912,32.9904747,249752.25,501.7237549,114584,1806.865601,1426.378174
54.7470016,0.3556,1514.649658,-0.05614,37.403061,-101.9267731,-33006764,0.97321,-0.1880722,33.0590935,251024.875,502.7901917,-75064.04688,1806.942627,1430.901733
55.1024971,0.3556,1488.860718,0.0243914,36.5191574,21.2679844,-31667198,0.9804569,-0.1354155,32.9898262,253475.3906,504.8398438,-258924.4531,1807.019531,1427.023071
55.4579926,0.3556,1459.083496,0.1037822,35.3313065,140.8322754,-29822324,0.9830124,-0.082321,32.7680779,257247.9531,507.9932861,-434099.375,1807.09668,1414.648071
55.8135071,0.3555,1425.504395,0.181919,33.822731,255.239502,-27440978,0.9808255,-0.0287443,32.3788757,262491.3125,512.3748779,-597819.375,1807.173706,1393.662354
56.1689949,0.3555,1379.011963,0.2536843,31.4727,327.242218,-24694500,0.9680933,0.0299648,32.2752762,266644.0625,516.1755371,-695730.25,1807.250732,1340.258667
56.5245018,0.3555,1336.904541,0.324918,29.6304646,391.81012,-22850056,0.9480323,0.0879886,32.5021248,274484.4063,522.663269,-747989.75,1807.327759,1278.093506
56.88,0.3555,1291.889282,0.3946325,27.8553219,449.5232544,-20809884,0.923851,0.145514,32.7565231,284223.4375,530.717041,-786839.3125,1807.404663,1209.175171
57.2354927,0.3555,1244.274048,0.4628143,26.2113647,500.4281311,-18579052,0.8959064,0.2022348,33.042709,296012.3438,540.461731,-813107,1807.481689,1134.571899
